1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser iguals fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Error semàntic de context (the same > ?iguals > el mateix). Postedició mínima.
48	For two hours we rambled about together, in silence for the most part, as befits two men who know each other intimately.	Durant dues hores ens passejàvem junts, en silenci en la seva major part, com correspon a dos homes que es coneixen íntimament.	Durant dues hores ens passejàrem junts, en silenci en la seva major part, com correspon a dos homes que es coneixen íntimament.	Temps verbal. Postedició mínima.
49	I am afraid that this is a bad business, Watson, said my companion, as he returned after accompanying Mr. Grant Munro to the door.	Em temo que aquest és un mal negoci, Watson, va dir el meu company, quan va tornar després d'acompanyar al senyor Grant Munro a la porta.	Em temo que aquest és un mal negoci, Watson, va dir el meu company, quan va tornar després d'acompanyar el senyor Grant Munro a la porta.	Transitivitat (acompanyar). Postedició mínima.
50	She waits until her husband is asleep, and then she rushes down to endeavor to persuade them to leave her in peace.	Ella espera fins que el seu marit estigui adormit, i després es precipita per intentar persuadir-los que la deixin en pau.	Ella espera fins que el seu marit estigui adormit, i després es precipita per intentar persuadir-los que la deixin en pau.	Correcte.
51	During that time my wife and I have loved each other as fondly and lived as happily as any two that ever were joined.	Durant aquest temps, la meva dona i jo ens hem estimat amb afecte i vivim tan feliços com els dos que mai s'havien unit.	Durant aquest temps la meva dona i jo ens hem estimat tan profundament i viscut tan feliçment com qualsevol parella que mai s’hagi unit.	Comparativa començada amb «as... as...». Temps verbal. Postedició moderada.
52	Some day, perhaps, but not just at present, Jack.	Alguns dia, potser, però no només en l'actualitat, Jack.	Algun dia, potser, però ara per ara no, Jack.	Adversativa començada amb «but not just...». Expressió temporal de context (at present > ?en l’actualitat > ara). Postedició moderada.
53	I went as far as the Crystal Palace, spent an hour in the grounds, and was back in Norbury by one o'clock.	Vaig arribar tan lluny com el Crystal Palace, passava una hora al recinte, i tornava a Norbury per una a la una.	Vaig arribar tan lluny com el Crystal Palace, vaig passar una hora al recinte, i tornava a ser a Norbury cap a la una en punt.	Última coordinada: expressió locativa (was back in Norbury), expressió temporal (by one o’clock). Correlació temps verbals. Postedició moderada.
54	Suddenly this morning it occurred to me that you were the man to advise me, so I have hurried to you now, and I place myself unreservedly in your hands.	De sobte, aquest matí em va donar a conèixer que era l'home que m'aconsellava, així que ara m'he apressat i em poso sense reserves a les teves mans.	De sobte, aquest matí se m’ha ocorregut que vós havíeu de ser l’home que m’aconsellés, així que ara m'he apressat i em poso sense reserves a les vostres mans.	Expressió (to be the one to do something). Correlació temps verbals. Lèxic (ocurred > *em va donar a conèixer > se m’ha ocorregut). Postedició moderada.
55	We shall be with you within an hour of receiving it, and we shall then very soon get to the bottom of the business.	Estarem amb vostè dins d'una hora després de rebre'l, i aviat arribarem al fons de l'empresa.	Serem amb vós al cap d'una hora després de rebre'l, i aviat arribarem al fons de l'assumpte.	Expressió temporal. Lèxic de context (business > *empresa > assumpte). Postedició moderada.
56	Sherlock Holmes was a man who seldom took exercise for exercise's sake.	Sherlock Holmes era un home que rarament prenia l'exercici pel benestar de l'exercici.	Sherlock Holmes era un home que rarament feia exercici pel bé de l'exercici.	Expressió feta. Postedició mínima.
57	In the cottage lay the secret which was casting a shadow over my life.	A la caseta hi havia el secret que estava omplint la meva vida.	A la caseta hi havia el secret que omplia d’ombra la meva vida.	Omissió de mot important (shadows) >> canvi semàntic crític. Postedició poca.
58	If I had been less cautious I might have been more wise, but I was half crazy with fear that you should learn the truth.	Si hagués estat menys cautelós, podria haver estat més prudent, però era una mica boig amb la por de saber la veritat.	Si hagués estat menys cautelosa, podria haver estat més prudent, però tenia molta por que tu sabessis la veritat.	Adversativa amb locució (to be half crazy with...) Postedició moderada.
59	Her husband developed some hateful qualities; or shall we say that he contracted some loathsome disease, and became a leper or an imbecile?	El seu marit va desenvolupar qualitats odioses; o hem de dir que va contreure alguna malaltia aversiva i es va convertir en un leproso o imbécil?	El seu marit va desenvolupar qualitats odioses; o hem de dir que va contreure alguna malaltia aversiva i es va convertir en un leprós o un imbècil?	Omissió de determinant indefinit (some). Lèxic castellà (leproso, imbécil). Postedició mínima.
60	Mr. Grant Munro pushed impatiently forward, however, and we stumbled after him as best we could.	Tanmateix, el senyor Grant Munro va avançar amb impaciència i ens vam trobar amb el millor possible. 	Tanmateix, el senyor Grant Munro va avançar amb impaciència i vam anar a trompicons darrere d’ell el millor possible. 	Segona copulativa >> canvi semàntic (stumbled after him > *ens vam trobar). Postedició elevada.
61	It was a cosey, well-furnished apartment, with two candles burning upon the table and two upon the mantelpiece.	Era un apartament ben equipat, amb dues espelmes cremades sobre la taula i dues sobre la llar de foc.	Era un apartament ben equipat, amb dues espelmes enceses sobre la taula i dues sobre la llar de foc.	Lèxic (two candles burning > dues espelmes *cremades) >> canvi semàntic. Postedició poca.
62	Why do you look at me like that, Jack?	Per què em veus així, Jack?	Per què em mires així, Jack?	Verb (look > *veure > mirar) >> canvi semàntic. Postedició mínima.
63	And now, since last Monday, there has suddenly sprung up a barrier between us, and I find that there is something in her life and in her thought of which I know as little as if she were the woman who brushes by me in the street.	I ara, des del dilluns passat, de sobte, hi ha hagut una barrera entre nosaltres, i trobo que hi ha alguna cosa a la seva vida i, en el seu pensament, sé tan poc com si fos la dona que em raspallava al carrer .	I ara, des del dilluns passat, de sobte, hi ha hagut una barrera entre nosaltres, i trobo que hi ha alguna cosa a la seva vida i en el seu pensament, dels quals sé tan poc com de la dona que em passa fregant pel carrer.	Pronom relatiu en oració subordinada >> manca de continuïtat. Postedició moderada.
64	My dear Mr. Grant Munro— began Holmes.	El meu estimat Sr Grant Munro- va començar Holmes.	Estimat Sr Grant Munro- va començar Holmes.	Expressió. Postedició mínima.
65	I burst out laughing, out of sympathy with her merriment; but Grant Munro stood staring, with his hand clutching his throat.	Vaig esclatar rient, amb simpatia amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafant la gola.	Vaig esclatar a riure, en simpatia amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafant-se la gola.	Perífrasi verbal (*esclatar rient > esclatar a riure). Pronom reflexiu (agafant-se). Postedició poca.
66	Well, I told you just now that there is a cottage not far from our house.	Bé, us ho vaig dir ara mateix que hi ha una casa de camp no gaire lluny de casa nostra.	Bé, us he dit ara mateix que hi ha una casa de camp no gaire lluny de casa nostra.	Temps verbal. Postedició mínima.
67	They had one child, but the yellow fever broke out badly in the place, and both husband and child died of it.	Tenien un fill, però la febre groga esclatà malament al lloc, i el marit i el fill van morir d'ell.	Tenien un infant, però la febre groga esclatà fatalment al lloc, i el marit i l’infant van morir.	Lèxic (badly > *malament). Referència díctica. Postedició poca.
68	On the third day, however, I had ample evidence that her solemn promise was not enough to hold her back from this secret influence which drew her away from her husband and her duty.	El tercer dia, però, tenia àmplia evidència que la seva solemne promesa no era suficient per retirar-la d'aquesta influència secreta que la va apartar del seu marit i del seu deure.	El tercer dia, però, tenia àmplia evidència que la seva solemne promesa no era suficient per retirar-la d'aquesta influència secreta que l’havia apartat del seu marit i del seu deure.	Correlació temps verbals. Postedició mínima.
69	The facts are these, Mr. Holmes, said he.	Els fets són aquests, senyor Holmes, va dir ell.	Els fets són aquests, senyor Holmes, va dir ell.	Correcte.
70	As I entered the house the maid ran into the hall with a startled face.	Quan vaig entrar a la casa, la criada va entrar al vestíbul amb una cara sorprenent.	Quan vaig entrar a la casa, la criada va entrar corrent al vestíbul amb una cara de sorpresa.	Adjectiu (startled face > *sorprenent > de sorpresa). Postedició mínima.
71	It was our misfortune that our only child took after his people rather than mine.	Va ser la nostra desgràcia que el nostre únic fill va prendre després del seu poble més que el meu.	Va ser la nostra desgràcia que la nostra única filla s’assemblés més a la seva família que a la meva.	Phrasal verb (took after his people). Lèxic (people > ?poble). Postedició moderada.
72	Well, I should put the original cost of the pipe at seven and sixpence.	Bé, hauria de posar el cost original de la canonada a les set i sis setmanes.	Bé, hauria de posar el cost original de la pipa en set amb sis penics.	Expressió monetària. Lèxic (pipe > ?canonada). Postedició moderada.
73	Holmes, with a laugh, passed his hand behind the child's ear, a mask peeled off from her countenance, and there was a little coal black negress, with all her white teeth flashing in amusement at our amazed faces.	Holmes, amb una rialla, va passar la mà darrere de l'orella del nen, es va treure una màscara del rostre i hi va haver una mica de negre negra de carbó, amb totes les dents blanques que parpellejaven a les nostres cares sorprenents.	Holmes, amb una rialla, va passar la mà per darrere de l'orella de la nena, li va treure una màscara del rostre i va aparèixer una nena negra com el carbó, amb totes les dents blanques enlluernant divertidament les nostres cares de sorpresa.	Error subjecte/CI (*es va treure > li va treure). Concatenació d’adjectius (little coal black negress. Lèxic (amused faces > cares *sorprenents). Omissió CCManera (in amusement). Postedició elevada.
74	I should like to think over the matter a little now.	M'agradaria pensar una mica sobre la qüestió ara.	M'agradaria pensar una mica sobre la qüestió ara.	Correcte.
75	The indications here, however, are neither very marked nor very important.	Les indicacions aquí, però, no són ni molt marcades ni molt importants.	Les indicacions aquí, però, no són ni gaire marcades ni gaire importants.	Adverbi (very > ?molt > gaire). Postedició mínima.
76	Yes, of course I should have knocked.	Sí, per descomptat, hauria d'haver trucat.	Sí, per descomptat, hauria d'haver trucat.	Correlació temps verbals. Omissió contingut (there can never be). Canvi de Subjecte per CD. Final erroni. Postedició elevada.
77	It was of a livid chalky white, and with something set and rigid about it which was shockingly unnatural.	Era d'un blanc líquid líquid, i amb alguna cosa fix i rígid al respecte que va ser sorprenentment antinatural.	Era d'un blanc lívid de guix, i amb alguna cosa fixa i rígida que era sorprenentment antinatural.	Concatenació d’adjectius (livid chalky white). Gènere gramatical (cosa *fix i *rígid). Postedició poca.
78	How can you tell me what you know is false?	Com em pots dir el que saps és fals?	Com em pots dir una cosa que saps que és falsa?	No genuí. Postedició poca.
79	I have seen his death certificate.	He vist el certificat de defunció.	N’he vist el certificat de defunció.	Pronom feble. Postedició mínima.
80	I don't want to argue about that.	No vull discutir sobre això. 	No vull discutir sobre això. 	Correcte.
81	It's horrible to have to do it.	És horrible haver de fer-ho.	És horrible haver de fer-ho.	Postedició mínima (optativa: haver-ho de fer).
82	Though I knew the danger, I determined to have the child over, if it were but for a few weeks.	Tot i que sabia el perill, em vaig decidir a tenir el nen, si ho fos, però durant unes setmanes.	Tot i que sabia el perill, vaig decidir fer venir la nena, però només durant unes setmanes.	Phrasal verb (to have someone over). Construcció condicional (if it were but...). Postedició moderada.
83	I should have put him at about thirty, though he was really some years older.	Hauria d'haver-lo posat a prop de trenta, tot i que era realment un any més antic.	Li hauria posat trenta anys, tot i que realment era uns anys més gran.	Phrasal verb/ locució (to put someone at) per indicar l’edat d’algú. Lèxic (older > *antic > gran/vell). Postedició moderada.
84	I see that you have only just moved in, so I thought that if I could be of any help to you in any—	Veig que només heu instal·lat, així que vaig pensar que si poguessin ajudar-vos en qualsevol,	Veig que us acabeu d’instal·lar, així que he pensat que si jo pogués ajudar-vos en qualsevol...	Pronom reflexiu (us). Adverbi (only just > *només). Temps verbal. Postedició moderada.
85	You can see for yourselves that some one is there.	Vostè pot veure per vosaltres mateixos que algú està allà.	Podeu veure per vosaltres mateixos que hi ha algú allà.	Canvi de persona verbal. Distinció estar/haver-hi. Postedició moderada.
86	And you won't tell me what you want it for?	I no em diràs el que vols?	I no em diràs per a què ho vols?	Construcció «what you want it for». Postedició poca.
87	He has been in the habit of lighting his pipe at lamps and gas-jets.	Ha estat l'hàbit d'encendre la seva canonada en llums i gasos.	Ha tingut l'hàbit d'encendre la seva pipa en làmpades i sortidors de gas.	Locució «has been in the habit». Lèxic (pipe > ?canonada; gas-jets > *gasos). Postedició poca.
