1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha un secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Correcte. Determinant (*un/aquest). Postedició mínima.
23	I stood at the door for a few minutes, and now I am quite myself again.	Em vaig quedar uns minuts a la porta, i ara ja sóc ben bé jo mateixa.	Em vaig quedar uns minuts a la porta, i ara sóc ben bé jo mateix altre cop.	Gènere. Correlació de temps verbals (segons context). Postedició mínima.
24	I was badly in need of a case, and this looks, from the man's impatience, as if it were of importance.	Necessitava desesperadament un cas, i aquesta mirada, per la impaciència de l'home, era com si fos d'importància.	Necessitava desesperadament un cas, i això sembla, per la impaciència de l’home, que era d’importància.	Expressió (this looks > *aquesta mirada > això sembla). Les juxtaposicions compliquen la traducció; el segment de sortida té sentit, però amb canvi semàntic. Postedició poca.
25	My husband died at Atlanta.	El meu marit va morir a Atlanta.	El meu marit va morir a Atlanta.	Correcte.
26	But we had not a very long time to wait for that.	Però no teníem gaire temps per esperar.	Però no vam haver d’espera-ho gaire temps.	Segment de sortida té sentit, però amb canvi semàntic. Postedició poca.
27	My wife seemed to be as upset as myself, and I could see from the little questioning glances which she kept shooting at me that she understood that I disbelieved her statement, and that she was at her wits' end what to do.	Semblava que la meva dona estava tan trasbalsada com jo, i per les mirades interrogants que no parava de llançar-me, vaig veure que entenia que no em creia la seva afirmació i que estava a punt d'acabar el que havia de fer.	Semblava que la meva dona estava tan trasbalsada com jo, i per les mirades interrogants que no parava de llançar-me, vaig veure que entenia que no em creia la seva afirmació i que ella ja no sabia què més fer.	Ambigüitat de persona. Frase feta (wits’ end). Postedició poca.
28	When new facts come to our knowledge which cannot be covered by it, it will be time enough to reconsider it.	Quan els nous fets arribin als nostres coneixements que no es poden cobrir, ja tindrem temps de reconsiderar-ho.	Quan nous fets arriben al nostre coneixement i aquest no els pot cobrir, serà el temps ja de reconsiderar-lo.	Alteració de l’ordre natural de l’oració, diverses subordinades i nombrosos díctics. Postedició moderada.
29	Our visitor again passed his hand over his forehead, as if he found it bitterly hard.	El nostre visitant es va tornar a passar la mà pel front, com si li costés molt.	El nostre visitant es va tornar a passar la mà pel front, com si li costés molt.	Correcte.
30	An instant later our door opened, and a tall young man entered the room.	Un instant després la nostra porta es va obrir i un jove alt va entrar a la sala.	Un instant després la nostra porta es va obrir i un jove alt va entrar a la sala.	Correcte.
31	Holmes and I had listened with the utmost interest to this extraordinary statement, which had been delivered in the jerky, broken fashion of a man who is under the influence of extreme emotions.	Holmes i jo havíem escoltat amb el màxim interès aquesta afirmació extraordinària, que havia estat pronunciada de la manera espasmòdica i trencada d'un home que està sota la influència d'emocions extremes.	Holmes i jo havíem escoltat amb el màxim interès aquesta afirmació extraordinària, que havia estat pronunciada de la manera espasmòdica i trencada d'un home que està sota la influència d'emocions extremes.	Correcte.
32	Well, he must have been disturbed in his mind to leave a pipe behind him which he evidently values highly.	Bé, deu haver estat pertorbat mentalment per deixar una pipa darrere seu que, evidentment, valora molt.	Bé, deu haver estat pertorbat mentalment per deixar-se una pipa que, evidentment, valora molt.	Gramaticalment correcte i amb sentit. Expressió (leave behind > deixar-se/oblidar-se). Postedició mínima.
33	There was such earnestness, such despair, in her manner that her words arrested me, and I stood irresolute before the door.	- hi havia tanta serietat, tanta desesperació, a la seva manera que les seves paraules em van detenir, i em vaig quedar indecís davant la porta.	Hi havia tanta serietat, tanta desesperació, en les seves maneres que les seves paraules em van detenir, i em vaig quedar indecís davant la porta.	Expressió (in her manner > *a la seva manera > en el seu fer/en les seves maneres). Postedició mínima.
34	This sickened her of America, and she came back to live with a maiden aunt at Pinner, in Middlesex.	Això la fastiguejava d'Amèrica, i va tornar a viure amb una tia donzella a Pinner, a Middlesex.	Això la fastiguejava d'Amèrica, i va tornar a viure amb una tia soltera a Pinner, a Middlesex.	Expressió (sickened of > fastiguejar/fer avorrir). Lèxic (maiden > *donzella > soltera). Postedició poca.
35	Annoyed at the churlish rebuff, I turned my back and walked home.	Empipat per aquell rebuig tan groller, em vaig girar d'esquena i vaig tornar a casa.	Empipat per aquell rebuig tan groller, em vaig girar d'esquena i vaig tornar a casa.	Correcte.
36	Until you tell me who it is that has been living in that cottage, and who it is to whom you have given that photograph, there can never be any confidence between us, said I, and breaking away from her, I left the house.	"- ""fins que no em diguis qui és que ha estat vivint en aquella caseta, i qui és a qui has donat aquesta fotografia, no hi pot haver mai cap confiança entre nosaltres"" - va dir jo, i apartant-me d'ella, vaig sortir de casa."	"Fins que no em diguis qui és que ha estat vivint en aquella caseta, i qui és a qui has donat aquesta fotografia, no hi pot haver mai cap confiança entre nosaltres"" – vaig dir jo, i apartant-me d'ella, vaig sortir de casa."	Persona. Postedició mínima.
37	It was a strange puzzle, and yet I knew that my mind could never know ease again until I had solved it.	Era un trencaclosques estrany, però tot i així sabia que la meva ment mai no podria tornar a ser tranquil·la fins que no l'hagués resolt.	Era un trencaclosques estrany, però tot i així sabia que la meva ment mai no podria tornar a estar tranquil·la fins que no l'hagués resolt.	Ser/estar. Postedició mínima.
38	You appear, however, to have been disagreeably impressed by it.	- sembla, però, que l'ha impressionat molt.	Sembla, però, que us ha impressionat desagradablement.	Gramaticalment correcte i amb sentit. Pèrdua d’informació de persona. Omissió (disagreeably). Postedició poca.
39	I will tell you the meaning of it, cried the lady, sweeping into the room with a proud, set face.	- us en diré el significat - exclamà la dama, entrant a la cambra amb un posat orgullós -.	Us en diré el significat, exclamà la dama, esmunyint-se cap a l'habitació amb un posat orgullós i resolt.	Correcte. Pèrdua d’informació de manera de moviment (sweeping). Omissió (set). Postedició moderada.
40	If you have reason to believe that it is inhabited, do not force your way in, but send a wire to my friend and me.	Si teniu motius per creure que està habitat, no us obligueu a entrar, sinó que envieu un cable al meu amic i a mi.	Si teniu motius per creure que és habitada, no forceu l’entrada; envieu-nos un telegrama al meu amic i a mi.	Expressió (force the way in > forçar l’entrada). Lèxic. Postedició elevada.
41	I determined to say nothing about the former to my wife, for she is a nervous, highly strung woman, and I had no wish that she would share the unpleasant impression which had been produced upon myself.	Vaig decidir no dir res de l'anterior a la meva dona, perquè és una dona nerviosa i molt lligada, i no tenia cap ganes de compartir la desagradable impressió que m'havia produït.	Vaig decidir no dir res de l'anterior a la meva dona, perquè és una dona nerviosa i molt tensa, i no tenia cap ganes que compartís la desagradable impressió que m'havia produït.	Lèxic (strung > *lligada > tensa). Canvi semàntic a la subordinada adjectiva. Postedició poca.
42	We had an inn and two houses a little above us, and a single cottage at the other side of the field which faces us, and except those there were no houses until you got half way to the station.	Teníem una fonda i dues cases una mica més amunt, i una sola caseta a l'altra banda del camp que ens mirava, i excepte les que no hi havia cases fins que no arribaves a l'estació.	Teníem una fonda i dues cases una mica més amunt, i una sola caseta a l'altra banda del camp del davant, i excepte aquelles no hi havia cases fins que no arribaves a mig camí de l'estació.	Subordinada substantiva amb expressió espacial (which faces us). Manca de continuïtat al final amb omissió d’expressió espacial (half way). Postedició moderada. 
43	She followed me, however, before I could close the door.	Però em va seguir abans que pogués tancar la porta.	Però em va seguir abans que pogués tancar la porta.	Correcte. Pèrdua d’informació de persona.
44	As I did so I happened to glance out of one of the upper windows, and saw the maid with whom I had just been speaking running across the field in the direction of the cottage.	En fer-ho, vaig mirar per una de les finestres de dalt i vaig veure la minyona amb qui acabava de parlar corrent pel camp en direcció a la cabanya.	En fer-ho, vaig mirar per una de les finestres de dalt i vaig veure la minyona amb qui acabava de parlar corrent pel camp en direcció a la cabanya.	Correcte. Pèrdua d’informació d’aspecte (happened to glance).
45	She promises him then not to go there again, but two days afterwards the hope of getting rid of those dreadful neighbors was too strong for her, and she made another attempt, taking down with her the photograph which had probably been demanded from her.	Ella li promet que no hi tornarà mai més, però dos dies després l'esperança de desfer-se d'aquells veïns esgarrifosos era massa forta per a ella, i va fer un altre intent, enduent-se amb ella la fotografia que probablement li havien exigit.	Ella li promet que no hi tornarà mai més, però dos dies després l'esperança de desfer-se d'aquells veïns esgarrifosos era massa forta per a ella, i va fer un altre intent, enduent-se amb ella la fotografia que probablement li havien exigit.	Correcte.
46	But you saw me go, and that was the beginning of my troubles.	Però tu em vas veure marxar, i això va ser el començament dels meus problemes.	Però tu em vas veure marxar, i això va ser el començament dels meus problemes.	Correcte.
47	And if it is still empty?	- i si encara és buida?	I si encara és buida?	Correcte.
48	For two hours we rambled about together, in silence for the most part, as befits two men who know each other intimately.	Durant dues hores vam divagar junts, en silenci la major part, com correspon a dos homes que es coneixen íntimament.	Durant dues hores vam divagar junts, en silenci la major part, com correspon a dos homes que es coneixen íntimament.	Correcte.
49	I am afraid that this is a bad business, Watson, said my companion, as he returned after accompanying Mr. Grant Munro to the door.	- em temo que això és un mal assumpte, Watson - va dir el meu company, mentre tornava després d'acompanyar el senyor Grant Munro a la porta -.	Em temo que això és un mal assumpte, Watson -va dir el meu company, mentre tornava després d'acompanyar el senyor Grant Munro a la porta.	Correcte.
50	She waits until her husband is asleep, and then she rushes down to endeavor to persuade them to leave her in peace.	Espera que el seu marit s'adormi, i llavors s'esmuny per intentar convèncer-los que la deixin en pau.	Espera que el seu marit s'adormi, i llavors s'esmuny per intentar convèncer-los que la deixin en pau.	Correcte. Pèrdua d’informació de direcció de moviment.
51	During that time my wife and I have loved each other as fondly and lived as happily as any two that ever were joined.	Durant aquest temps la meva dona i jo ens hem estimat amb tant d'afecte i hem viscut tan feliços com tots els dos que s'havien unit.	Durant aquest temps la meva dona i jo ens hem estimat amb tant d'afecte i hem viscut tan feliços com qualsevol parella que mai s'hagi unit.	Expressió (any two that ever where joined). Postedició poca.
52	Some day, perhaps, but not just at present, Jack.	- potser algun dia, però no només de moment, Jacky.	Potser algun dia, però no pas ara, Jack.	Expressió temporal. Canvi de nom propi (*Jacky/Jack). Postedició poca.
53	I went as far as the Crystal Palace, spent an hour in the grounds, and was back in Norbury by one o'clock.	- vaig anar fins al Crystal Palace, vaig passar una hora als jardins i vaig tornar a Norbury cap a la una.	Vaig anar fina al Crystal Palace, vaig passar una hora als jardins, i tornava a ser a Norbury cap a la una en punt.	Correcte. Alteració d’informació espacial.
54	Suddenly this morning it occurred to me that you were the man to advise me, so I have hurried to you now, and I place myself unreservedly in your hands.	De cop i volta aquest matí se m'ha acudit que vostè era l'home que m'aconsellava, de manera que ara m'he afanyat cap a vostè, i em poso sense reserves a les seves mans.	De cop i volta aquest matí se m'ha acudit que vostè era l'home que m'havia d’aconsellar, de manera que ara vingut ràpidament a vostè, i em poso sense reserves a les seves mans.	Temps verbal. Expressió espacial. Postedició poca.
55	We shall be with you within an hour of receiving it, and we shall then very soon get to the bottom of the business.	Serem amb tu d'aquí a una hora per rebre'l, i aleshores arribarem al fons del negoci.	Serem amb tu al cap d'una hora de rebre’l, i  aleshores arribarem aviat al fons de l’assumpte.	Expressió temporal (within an hour of receiving it). Omissió (very soon). Lèxic (business > *negoci > assumpte/qüestió). Postedició poca.
56	Sherlock Holmes was a man who seldom took exercise for exercise's sake.	Sherlock Holmes era un home que rarament feia exercici per fer exercici.	Sherlock Holmes era un home que rarament feia exercici per fer exercici.	Correcte.
57	In the cottage lay the secret which was casting a shadow over my life.	A la cabanya hi havia el secret que projectava una ombra sobre la meva vida.	A la cabanya hi havia el secret que projectava una ombra sobre la meva vida.	Correcte.
58	If I had been less cautious I might have been more wise, but I was half crazy with fear that you should learn the truth.	Si hagués estat menys prudent potser hauria estat més prudent, però estava mig boig de por de saber la veritat.	Si hagués estat menys prudent, podria haver anat millor, però estava mig boja amb por que no sabessis la veritat.	Lèxic repetit (prudent). Expressió complicada. Gènere. Postedició poca.
59	Her husband developed some hateful qualities; or shall we say that he contracted some loathsome disease, and became a leper or an imbecile?	El seu marit va desenvolupar algunes qualitats odioses; o diguem que va contreure alguna malaltia repugnant, i es va convertir en un leprós o un imbècil?	El seu marit va desenvolupar algunes qualitats detestables; o podríem dir que va contraure alguna malaltia repugnant i es va convertir en un leprós o un imbècil?	Modalitat de possibilitat (shall we say). Postedició mínima.
60	Mr. Grant Munro pushed impatiently forward, however, and we stumbled after him as best we could.	El senyor Grant Munro va empènyer amb impaciència cap endavant, però, i vam ensopegar amb ell tan bé com vam poder.	El senyor Grant Munro va avançar amb impaciència cap endavant, però, i vam anar a trompicons darrere d’ell tan bé com vam poder.	Expressió (we stumbled after him > vam anar a trompicons darrere d’ell). Postedició moderada.
61	It was a cosey, well-furnished apartment, with two candles burning upon the table and two upon the mantelpiece.	Era un apartament ben moblat, amb dues espelmes enceses sobre la taula i dues sobre la lleixa de la llar de foc.	Era un apartament acollidor, ben moblat, amb dues espelmes enceses sobre la taula i dues sobre la lleixa de la llar de foc.	Gramaticalment correcte i amb sentit. Omissió (cosey). Postedició mínima.
62	Why do you look at me like that, Jack?	Per què em mires així, Jack?	Per què em mires així, Jack?	Correcte.
63	And now, since last Monday, there has suddenly sprung up a barrier between us, and I find that there is something in her life and in her thought of which I know as little as if she were the woman who brushes by me in the street.	I ara, des del dilluns passat, de sobte s'ha aixecat una barrera entre nosaltres, i m'adono que hi ha alguna cosa en la seva vida i en el seu pensament que sé tan poc com si fos la dona que em passa pel costat pel carrer.	I ara, des del dilluns passat, de sobte s'ha aixecat una barrera entre nosaltres, i m'adono que hi ha alguna cosa en la seva vida i en el seu pensament dels quals sé tan poc com si fos la dona que em passa pel costat pel carrer.	Pronom relatiu incorrecte (*que > dels quals). Postedició mínima.
64	My dear Mr. Grant Munro— began Holmes.	- estimat senyor Grant Munro... - començà Holmes.	Estimat senyor Grant Munro... -començà Holmes.	Correcte.
65	I burst out laughing, out of sympathy with her merriment; but Grant Munro stood staring, with his hand clutching his throat.	Vaig esclafir a riure, per compassió amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafada al coll.	Vaig esclafir a riure, per simpatia amb la seva alegria; però Grant Munro es va quedar mirant, amb la mà agafada al coll.	Expressió (out of sympathy). Postedició mínima.
66	Well, I told you just now that there is a cottage not far from our house.	- bé, ja t'he dit ara que hi ha una cabanya no gaire lluny de casa nostra.	Bé, ja us he dit ara que hi ha una cabanya no gaire lluny de casa nostra.	Correcte.
67	They had one child, but the yellow fever broke out badly in the place, and both husband and child died of it.	Van tenir un fill, però la febre groga va esclatar de mala manera en aquell lloc, i tant marit com fill en van morir.	Van tenir un fill, però la febre groga va esclatar de mala manera en aquell lloc, i tant el marit com el fill van morir.	Correcte.
68	On the third day, however, I had ample evidence that her solemn promise was not enough to hold her back from this secret influence which drew her away from her husband and her duty.	El tercer dia, però, vaig tenir proves de sobres que la seva promesa solemne no era suficient per apartar-la d'aquella influència secreta que l'allunyava del seu marit i del seu deure.	El tercer dia, però, tenia prou proves que la seva solemne promesa no era suficient per retenir-la d'aquesta influència secreta que la va apartar del seu marit i del seu deure.	Correcte. Possible correlació de temps verbals.
69	The facts are these, Mr. Holmes, said he.	- els fets són aquests, senyor Holmes - va dir -.	Els fets són aquests, senyor Holmes - va dir.	Correcte. Pèrdua d’informació de persona.
70	As I entered the house the maid ran into the hall with a startled face.	Quan vaig entrar a la casa, la minyona va córrer cap al vestíbul amb cara de sorpresa.	Quan vaig entrar a la casa, la minyona va córrer cap al vestíbul amb cara de sorpresa.	Correcte.
71	It was our misfortune that our only child took after his people rather than mine.	Va ser la nostra desgràcia que el nostre únic fill s'assemblés més al seu poble que no pas al meu.	Va ser la nostra desgràcia que el nostre únic fill s'assemblés més al seu poble que no pas al meu.	Correcte.
72	Well, I should put the original cost of the pipe at seven and sixpence.	- bé, hauria de posar el cost original de la pipa a les set i sis penics.	Bé, hauria de posar el cost original de la pipa a set i sis penics.	Expressió (seven and sixpence). Postedició mínima.
73	Holmes, with a laugh, passed his hand behind the child's ear, a mask peeled off from her countenance, and there was a little coal black negress, with all her white teeth flashing in amusement at our amazed faces.	Holmes, amb una rialla, va passar la mà per darrere l'orella de la nena, una màscara que s'havia desprès del seu semblant, i hi havia una petita negror negra com el carbó, amb totes les seves dents blanques resplendint de diversió davant els nostres rostres sorpresos.	Holmes, amb una rialla, va passar la mà per darrere l'orella de la nena; una màscara es desprengué del seu semblant, i allà hi havia una nena petita, negra com el carbó, amb totes les seves dents blanques resplendint divertidament davant els nostres rostres sorpresos.	Pèrdua d’informació de persona. Juxtaposicions. Sintagma (a little coal black negress). Postedició moderada.
74	I should like to think over the matter a little now.	Ara m'agradaria rumiar una mica.	M'agradaria reflexionar sobre la qüestió ara una mica.	Correcte. Pèrdua d’informació. Postedició mínima
75	The indications here, however, are neither very marked nor very important.	Les indicacions aquí, però, no són ni gaire marcades ni gaire importants.	Les indicacions aquí, però, no són ni gaire marcades ni gaire importants.	Correcte.
76	Yes, of course I should have knocked.	Sí, és clar que hauria d'haver trucat.	Sí, és clar que hauria d'haver trucat.	Correcte.
77	It was of a livid chalky white, and with something set and rigid about it which was shockingly unnatural.	Era d'un blanc lívid com el guix, i tenia alguna cosa que no era natural.	Era d’un blanc lívid com el guix, i tenia alguna cosa que no era natural.	Correcte. Pèrdua d’informació (set and rigid, shockingly). Postedició mínima.
78	How can you tell me what you know is false?	- ¿com pot dir-me que el que sap és fals?	Com em pots dir una cosa que saps que és falsa?	Expressió. Postedició poca.
79	I have seen his death certificate.	He vist el seu certificat de defunció.	He vist el seu certificat de defunció.	Correcte.
80	I don't want to argue about that.	No vull discutir sobre això.	No vull discutir sobre això.	Correcte.
81	It's horrible to have to do it.	És horrible haver-ho de fer.	És horrible haver-ho de fer.	Correcte.
82	Though I knew the danger, I determined to have the child over, if it were but for a few weeks.	Tot i que coneixia el perill, vaig decidir tenir el nen a sobre, si no fos per unes quantes setmanes.	Tot i que coneixia el perill, vaig decidir fer venir la criatura, si era només per unes setmanes.	Phrasal verb (have someone over). Subordinada condicional. Postedició poca.
83	I should have put him at about thirty, though he was really some years older.	L'hauria d'haver posat als trenta anys, tot i que en realitat era uns quants anys més gran.	Li hauria posat trenta anys, tot i que en realitat tenia uns quants anys més.	Temps verbal. Expressió. Postedició mínima.
84	I see that you have only just moved in, so I thought that if I could be of any help to you in any—	- ja veig que s'acaba d'instal·lar, o sigui que he pensat que si li podia ajudar en res...	Ja veig que us acabeu d'instal·lar, o sigui que he pensat que si us podia ajudar en res...	Transitivitat (*CI/CD). Postedició mínima.
85	You can see for yourselves that some one is there.	Ja veieu que n'hi ha algun.	Podeu veure per vosaltres mateixos que hi ha algú allà.	Pèrdua d’informació elevada (aspecte, reflexivitat, dixi). Postedició elevada.
86	And you won't tell me what you want it for?	- ¿i no em vol dir per què la vol?	I no em vols dir per a què el vols?	Correcte. Postedició mínima.
87	He has been in the habit of lighting his pipe at lamps and gas-jets.	- té el costum d'encendre la pipa a les llànties i als gas-jets.	Té el costum d’encendre la pipa a les llànties i als sortidors de gas.	Lèxic no traduït (gas-jets). Postedició Mínima.
88	If the cottage is now permanently deserted we may have some difficulty.	Si ara la cabanya està permanentment deserta, potser tindrem alguna dificultat.	Si la caseta està ara permanentment deserta podem tenir algunes dificultats.	Correcte.
89	Still pulling at my sleeve, she led me away from the cottage.	- encara estirant-me la màniga, em va portar lluny de la cabanya.	Encara estirant-me la màniga, em va portar lluny de la cabanya.	Correcte.
90	I am sorry that I broke my promise, Jack, said she; but if you knew all the circumstances I am sure that you would forgive me.	- em sap greu haver trencat la meva promesa, Jack - va dir ella -.	em sap greu haver trencat la meva promesa, Jack -va dir ella -, però si sabessis totes les circumstàncies estic segura que em perdonaries.	Omissió de la segona oració (una adversativa formada per condicional + principal composta). Postedició moderada.
91	As I stood there, imagine my surprise, Mr. Holmes, when the door suddenly opened and my wife walked out.	Mentre era allà, imagini's la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Mentre era dret allà, imagineu-vos la meva sorpresa, senyor Holmes, quan la porta es va obrir de sobte i la meva dona va sortir.	Correcte. Pèrdua d’informació.
92	Tell me, said he at last, could you swear that this was a man's face which you saw at the window?	- digueu-me - digué finalment -, podríeu jurar que aquesta era la cara d'un home que vau veure a la finestra?	Digueu-me - digué finalment -, podríeu jurar que la cara que vau veure a la finestra era la d'un home?	Canvi semàntic a la subordinada. Postedició moderada.
93	From every gesture and expression I could see that he was a reserved, self-contained man, with a dash of pride in his nature, more likely to hide his wounds than to expose them.	Per cada gest i cada expressió veia que era un home reservat i independent, amb un rampell d'orgull per la seva naturalesa, més probable que amagués les ferides que no pas que les desemmascarés.	Per cada gest i cada expressió veia que era un home reservat i contingut, amb un rampell d'orgull en la seva naturalesa, amb més probabilitat d’amagar les ferides que no pas d’exposar-les.	Lèxic (self-contained > *independent > contingut, retret, reservat). Construcció comparativa amb subjecte i verb allunyats per juxtaposició. Postedició poca.
